op	width	scale	prod_ns	branch_ns	delta_ns	delta_pct	ratio
to_radians	D153	38	806.910	820.956	14.045	1.741	1.0174
sin	D115	0	17.443	17.747	0.303	1.740	1.0174
neg	D1232	0	39.066	39.744	0.677	1.734	1.0173
sinh	D924	0	202.023	205.507	3.484	1.724	1.0172
ln	D230	0	483.145	491.443	8.298	1.718	1.0172
powf	D76	75	4443.622	4518.881	75.260	1.694	1.0169
atan	D57	0	3524.277	3583.504	59.227	1.681	1.0168
div	D1232	616	2472.578	2514.098	41.520	1.679	1.0168
to_radians	D616	462	4717.218	4795.952	78.734	1.669	1.0167
to_degrees	D307	306	2742.307	2787.933	45.626	1.664	1.0166
acos	D57	0	4288.033	4358.621	70.588	1.646	1.0165
ln	D462	461	5097.881	5180.958	83.077	1.630	1.0163
acosh	D153	0	6081.666	6180.389	98.723	1.623	1.0162
exp	D616	308	128258.983	130326.634	2067.650	1.612	1.0161
neg	D57	28	1.350	1.371	0.021	1.578	1.0158
ln	D57	56	552.448	561.072	8.625	1.561	1.0156
asin	D57	56	17145.137	17410.854	265.717	1.550	1.0155
sin	D153	76	6845.830	6951.790	105.960	1.548	1.0155
acos	D307	76	24223.298	24597.904	374.607	1.546	1.0155
acosh	D153	152	29709.412	30166.889	457.477	1.540	1.0154
sinh	D616	462	265467.943	269456.197	3988.254	1.502	1.0150
cbrt	D115	0	504.747	512.290	7.543	1.495	1.0149
exp	D76	75	9142.758	9278.452	135.694	1.484	1.0148
log	D76	75	4038.728	4098.642	59.914	1.483	1.0148
acos	D57	56	17168.472	17422.303	253.830	1.478	1.0148
asinh	D57	14	5059.629	5134.381	74.751	1.477	1.0148
asinh	D616	308	224693.822	227996.080	3302.257	1.470	1.0147
to_degrees	D57	56	389.856	395.574	5.717	1.467	1.0147
hypot	D1232	616	14295.368	14504.249	208.881	1.461	1.0146
sin	D76	75	6852.697	6952.780	100.084	1.460	1.0146
cosh	D76	57	9947.715	10092.341	144.626	1.454	1.0145
cbrt	D153	114	5670.968	5752.710	81.742	1.441	1.0144
mul	D616	154	647.193	656.481	9.288	1.435	1.0144
cos	D76	38	4192.007	4251.969	59.962	1.430	1.0143
asinh	D76	19	3674.290	3726.675	52.385	1.426	1.0143
tanh	D76	19	3744.975	3798.227	53.252	1.422	1.0142
atan	D924	0	4496.796	4560.698	63.902	1.421	1.0142
cos	D76	75	7135.264	7236.190	100.926	1.414	1.0141
atanh	D924	0	5859.962	5942.663	82.701	1.411	1.0141
to_degrees	D462	231	2226.696	2257.910	31.215	1.402	1.0140
cos	D616	462	251815.905	255344.152	3528.247	1.401	1.0140
atan	D616	462	386485.074	391877.119	5392.045	1.395	1.0140
asin	D38	19	7151.100	7250.631	99.531	1.392	1.0139
div	D616	308	996.147	1009.921	13.774	1.383	1.0138
