op	width	scale	prod_ns	branch_ns	delta_ns	delta_pct	ratio
atanh	D18	0	3.422	3.422	0.000	0.010	1.0001
asinh	D76	38	7186.504	7187.191	0.687	0.010	1.0001
to_radians	D153	152	1163.085	1163.196	0.111	0.010	1.0001
mul	D153	0	18.383	18.385	0.002	0.009	1.0001
sub	D38	9	0.901	0.901	0.000	0.009	1.0001
add	D230	57	15.301	15.303	0.001	0.008	1.0001
atanh	D18	13	10331.552	10332.376	0.824	0.008	1.0001
to_degrees	D38	0	4.359	4.360	0.000	0.008	1.0001
sub	D230	229	17.667	17.669	0.001	0.007	1.0001
rem	D924	231	69.500	69.505	0.005	0.007	1.0001
tanh	D38	0	3.736	3.736	0.000	0.006	1.0001
powf	D924	231	420408.321	420432.472	24.151	0.006	1.0001
to_radians	D38	9	142.409	142.417	0.007	0.005	1.0001
cosh	D115	0	9.972	9.972	0.001	0.005	1.0001
hypot	D18	13	40.317	40.319	0.002	0.005	1.0000
neg	D38	9	0.934	0.934	0.000	0.005	1.0000
cbrt	D924	923	127697.410	127703.512	6.102	0.005	1.0000
rem	D57	42	6.270	6.270	0.000	0.004	1.0000
exp	D18	17	7882.761	7883.033	0.272	0.003	1.0000
sub	D230	57	17.638	17.639	0.000	0.003	1.0000
cos	D18	0	4.979	4.979	0.000	0.001	1.0000
neg	D153	38	4.218	4.218	0.000	0.001	1.0000
asinh	D18	0	3.421	3.421	0.000	0.001	1.0000
sqrt	D38	9	17.253	17.253	-0.000	-0.000	1.0000
sinh	D1232	0	254.609	254.608	-0.001	-0.000	1.0000
powf	D18	0	8.708	8.708	-0.000	-0.001	1.0000
sin	D307	76	10878.517	10878.422	-0.095	-0.001	1.0000
sub	D1232	0	85.294	85.293	-0.001	-0.001	1.0000
sin	D18	0	4.356	4.356	-0.000	-0.002	1.0000
acosh	D38	0	25756.643	25755.906	-0.737	-0.003	1.0000
rem	D307	230	47.852	47.850	-0.001	-0.003	1.0000
rem	D18	4	1.866	1.866	-0.000	-0.003	1.0000
sinh	D38	0	4.049	4.049	-0.000	-0.003	1.0000
rem	D76	38	7.625	7.625	-0.000	-0.004	1.0000
acos	D18	13	32452.369	32451.016	-1.353	-0.004	1.0000
to_degrees	D115	86	754.672	754.634	-0.038	-0.005	0.9999
neg	D307	0	12.264	12.264	-0.001	-0.005	0.9999
sqrt	D1232	0	206.537	206.526	-0.011	-0.005	0.9999
cbrt	D18	4	5136.043	5135.741	-0.301	-0.006	0.9999
acosh	D18	13	38973.998	38971.648	-2.350	-0.006	0.9999
atanh	D38	0	3.735	3.735	-0.000	-0.006	0.9999
mul	D230	57	125.945	125.937	-0.008	-0.006	0.9999
asin	D18	0	4.667	4.667	-0.000	-0.007	0.9999
sin	D18	13	6332.753	6332.281	-0.472	-0.007	0.9999
exp	D18	0	3.111	3.111	-0.000	-0.009	0.9999
atan	D153	76	17567.550	17565.975	-1.575	-0.009	0.9999
asinh	D18	13	31810.591	31807.734	-2.857	-0.009	0.9999
powf	D924	693	782164.021	782085.520	-78.501	-0.010	0.9999
mul	D18	9	3.199	3.199	-0.000	-0.011	0.9999
log	D18	17	14843.782	14841.883	-1.898	-0.013	0.9999
neg	D1232	924	61.465	61.456	-0.008	-0.014	0.9999
asinh	D18	17	38690.494	38685.092	-5.401	-0.014	0.9999
add	D76	0	3.487	3.486	-0.001	-0.015	0.9999
neg	D18	9	0.703	0.703	-0.000	-0.015	0.9999
atan	D924	462	391253.509	391196.304	-57.206	-0.015	0.9999
cos	D115	0	17.444	17.441	-0.003	-0.017	0.9998
div	D1232	0	410.356	410.287	-0.070	-0.017	0.9998
hypot	D18	17	40.061	40.054	-0.007	-0.018	0.9998
to_radians	D307	0	1476.063	1475.778	-0.285	-0.019	0.9998
rem	D18	0	1.866	1.865	-0.000	-0.019	0.9998
hypot	D115	114	1267.546	1267.285	-0.261	-0.021	0.9998
asin	D76	38	11962.652	11960.162	-2.490	-0.021	0.9998
acosh	D38	9	16133.724	16130.351	-3.373	-0.021	0.9998
neg	D616	0	17.901	17.897	-0.004	-0.021	0.9998
neg	D57	42	1.347	1.347	-0.000	-0.021	0.9998
exp	D924	462	263609.900	263552.681	-57.219	-0.022	0.9998
asinh	D38	28	39911.752	39902.884	-8.868	-0.022	0.9998
acosh	D38	28	53366.129	53354.266	-11.864	-0.022	0.9998
atanh	D230	172	64901.231	64886.395	-14.836	-0.023	0.9998
cosh	D18	0	3.734	3.733	-0.001	-0.023	0.9998
rem	D307	0	48.119	48.107	-0.012	-0.024	0.9998
log	D1232	924	202148.967	202099.275	-49.692	-0.025	0.9998
add	D57	42	1.934	1.933	-0.001	-0.026	0.9997
acos	D18	9	29653.428	29645.580	-7.848	-0.026	0.9997
powf	D38	0	6.544	6.542	-0.002	-0.027	0.9997
neg	D153	114	4.293	4.292	-0.001	-0.027	0.9997
cbrt	D230	57	4092.355	4091.236	-1.119	-0.027	0.9997
cos	D924	693	568249.900	568092.659	-157.241	-0.028	0.9997
acos	D18	17	39436.120	39424.917	-11.202	-0.028	0.9997
sinh	D115	0	10.281	10.278	-0.003	-0.029	0.9997
cbrt	D18	17	8700.229	8697.659	-2.570	-0.030	0.9997
hypot	D18	4	39.561	39.549	-0.012	-0.030	0.9997
cosh	D38	37	16519.084	16514.055	-5.029	-0.030	0.9997
rem	D307	153	47.965	47.950	-0.015	-0.031	0.9997
sinh	D230	0	49.614	49.598	-0.016	-0.032	0.9997
neg	D616	462	19.859	19.852	-0.006	-0.033	0.9997
acosh	D115	86	18255.272	18249.040	-6.232	-0.034	0.9997
acos	D18	4	21824.724	21817.165	-7.559	-0.035	0.9997
rem	D38	37	16.444	16.438	-0.006	-0.035	0.9996
asinh	D230	115	44440.263	44424.653	-15.610	-0.035	0.9996
hypot	D616	0	64.984	64.960	-0.023	-0.036	0.9996
neg	D18	0	0.622	0.622	-0.000	-0.036	0.9996
cos	D307	306	116003.522	115960.992	-42.531	-0.037	0.9996
neg	D18	4	0.622	0.622	-0.000	-0.037	0.9996
div	D924	0	392.114	391.969	-0.145	-0.037	0.9996
cbrt	D924	462	82713.925	82682.600	-31.325	-0.038	0.9996
exp	D76	0	3.225	3.223	-0.001	-0.038	0.9996
cos	D18	17	6990.348	6987.623	-2.725	-0.039	0.9996
sub	D1232	924	95.220	95.181	-0.040	-0.042	0.9996
atan	D153	0	3894.445	3892.776	-1.669	-0.043	0.9996
exp	D1232	0	253.355	253.243	-0.111	-0.044	0.9996
to_degrees	D924	923	7784.309	7780.864	-3.445	-0.044	0.9996
log	D1232	1231	271459.273	271338.388	-120.885	-0.045	0.9996
neg	D153	152	4.294	4.292	-0.002	-0.047	0.9995
neg	D307	230	12.355	12.350	-0.006	-0.047	0.9995
sub	D18	0	0.937	0.936	-0.000	-0.048	0.9995
mul	D462	461	2609.606	2608.338	-1.268	-0.049	0.9995
asin	D18	17	39426.397	39407.135	-19.262	-0.049	0.9995
asinh	D38	9	12387.201	12380.578	-6.623	-0.053	0.9995
log	D18	9	12405.833	12399.177	-6.656	-0.054	0.9995
neg	D924	462	77.081	77.039	-0.042	-0.055	0.9995
exp	D924	693	548410.645	548109.035	-301.611	-0.055	0.9995
hypot	D38	28	66.936	66.898	-0.038	-0.057	0.9994
ln	D18	13	396.775	396.548	-0.227	-0.057	0.9994
cbrt	D924	231	25855.602	25840.621	-14.980	-0.058	0.9994
powf	D18	4	4866.393	4863.507	-2.886	-0.059	0.9994
hypot	D38	19	67.291	67.250	-0.041	-0.061	0.9994
neg	D616	154	20.187	20.174	-0.013	-0.064	0.9994
sub	D153	38	8.449	8.443	-0.005	-0.064	0.9994
sinh	D924	923	691317.465	690872.347	-445.118	-0.064	0.9994
hypot	D115	57	702.617	702.154	-0.463	-0.066	0.9993
sqrt	D18	17	30.684	30.663	-0.021	-0.068	0.9993
mul	D76	38	33.849	33.825	-0.024	-0.071	0.9993
tan	D18	17	12695.737	12686.428	-9.309	-0.073	0.9993
cosh	D18	17	11947.979	11938.889	-9.090	-0.076	0.9992
exp	D115	0	17.457	17.443	-0.013	-0.076	0.9992
sub	D230	172	15.474	15.462	-0.012	-0.078	0.9992
sinh	D616	0	150.036	149.917	-0.119	-0.079	0.9992
hypot	D115	86	1119.496	1118.592	-0.904	-0.081	0.9992
div	D230	57	179.547	179.399	-0.148	-0.082	0.9992
sin	D38	37	9643.325	9635.346	-7.978	-0.083	0.9992
tanh	D924	923	696327.056	695743.282	-583.774	-0.084	0.9992
acosh	D924	923	982678.036	981846.917	-831.119	-0.085	0.9992
log	D18	13	13576.800	13565.286	-11.514	-0.085	0.9992
div	D153	0	66.450	66.393	-0.056	-0.085	0.9991
asinh	D307	76	32004.504	31976.920	-27.584	-0.086	0.9991
mul	D924	693	4953.933	4949.633	-4.300	-0.087	0.9991
tanh	D307	0	3423.517	3420.500	-3.017	-0.088	0.9991
acosh	D57	56	7484.668	7478.068	-6.600	-0.088	0.9991
div	D924	462	2028.689	2026.886	-1.804	-0.089	0.9991
asin	D462	0	4818.841	4814.552	-4.288	-0.089	0.9991
sinh	D18	13	11031.186	11020.998	-10.188	-0.092	0.9991
powf	D18	17	8607.742	8599.696	-8.046	-0.093	0.9991
neg	D18	13	0.703	0.703	-0.001	-0.094	0.9991
asinh	D38	37	55171.647	55118.304	-53.343	-0.097	0.9990
neg	D1232	308	61.490	61.430	-0.060	-0.098	0.9990
rem	D230	229	36.477	36.441	-0.036	-0.098	0.9990
mul	D18	4	2.875	2.872	-0.003	-0.099	0.9990
sin	D115	86	14113.566	14099.250	-14.316	-0.101	0.9990
sub	D924	231	60.983	60.919	-0.064	-0.105	0.9989
to_radians	D307	306	3391.626	3388.061	-3.565	-0.105	0.9989
mul	D57	42	60.819	60.754	-0.065	-0.108	0.9989
to_radians	D76	0	306.822	306.484	-0.338	-0.110	0.9989
neg	D924	693	77.186	77.100	-0.086	-0.111	0.9989
cbrt	D307	230	17872.406	17852.355	-20.050	-0.112	0.9989
acos	D153	0	4747.107	4741.738	-5.369	-0.113	0.9989
add	D153	38	6.628	6.620	-0.008	-0.113	0.9989
rem	D57	14	6.713	6.705	-0.008	-0.114	0.9989
cbrt	D38	9	2256.961	2254.357	-2.604	-0.115	0.9988
sin	D57	14	2937.426	2933.981	-3.445	-0.117	0.9988
cbrt	D1232	1231	345349.367	344943.543	-405.824	-0.118	0.9988
acos	D115	114	43672.709	43621.244	-51.465	-0.118	0.9988
asin	D18	4	21829.064	21802.915	-26.149	-0.120	0.9988
sinh	D115	114	27736.678	27703.183	-33.495	-0.121	0.9988
neg	D76	75	2.036	2.033	-0.002	-0.121	0.9988
sub	D230	115	17.674	17.651	-0.023	-0.129	0.9987
hypot	D616	615	15371.917	15352.113	-19.804	-0.129	0.9987
sinh	D18	4	7357.550	7348.066	-9.484	-0.129	0.9987
to_radians	D18	17	208.893	208.622	-0.271	-0.130	0.9987
acos	D76	38	12048.305	12032.597	-15.708	-0.130	0.9987
log	D38	28	17173.302	17150.602	-22.700	-0.132	0.9987
tanh	D115	28	7571.218	7561.082	-10.136	-0.134	0.9987
ln	D18	9	387.836	387.309	-0.527	-0.136	0.9986
asinh	D462	231	125678.211	125506.511	-171.701	-0.137	0.9986
neg	D462	231	16.974	16.950	-0.024	-0.140	0.9986
ln	D153	152	1203.992	1202.293	-1.699	-0.141	0.9986
cosh	D1232	0	257.360	256.988	-0.372	-0.144	0.9986
hypot	D307	306	5639.735	5631.558	-8.178	-0.145	0.9985
log	D38	37	21182.741	21151.605	-31.136	-0.147	0.9985
sub	D307	153	25.177	25.140	-0.037	-0.148	0.9985
div	D18	4	5.935	5.926	-0.009	-0.148	0.9985
acosh	D57	42	5101.132	5093.507	-7.625	-0.149	0.9985
sub	D924	0	88.940	88.806	-0.133	-0.150	0.9985
asin	D924	923	1125955.022	1124260.957	-1694.065	-0.150	0.9985
rem	D115	57	12.449	12.430	-0.019	-0.153	0.9985
sub	D76	38	2.684	2.680	-0.004	-0.153	0.9985
div	D153	38	112.956	112.782	-0.174	-0.154	0.9985
div	D115	0	54.947	54.862	-0.085	-0.155	0.9984
tanh	D18	13	11228.199	11210.745	-17.454	-0.155	0.9984
cos	D38	9	2955.911	2951.284	-4.627	-0.157	0.9984
div	D307	76	189.834	189.533	-0.301	-0.159	0.9984
atan	D307	153	52888.567	52804.667	-83.900	-0.159	0.9984
to_degrees	D616	615	5935.062	5925.576	-9.486	-0.160	0.9984
neg	D230	172	5.491	5.482	-0.009	-0.160	0.9984
atanh	D57	42	7085.085	7073.636	-11.448	-0.162	0.9984
mul	D18	17	5.027	5.019	-0.008	-0.162	0.9984
neg	D1232	1231	73.210	73.091	-0.119	-0.163	0.9984
hypot	D38	0	15.536	15.511	-0.026	-0.165	0.9984
sqrt	D115	86	1515.508	1513.001	-2.507	-0.165	0.9983
atanh	D616	615	1017344.288	1015644.300	-1699.988	-0.167	0.9983
atan	D924	923	1065648.292	1063866.604	-1781.688	-0.167	0.9983
tanh	D924	462	270278.062	269823.554	-454.507	-0.168	0.9983
acosh	D307	306	138258.888	138025.505	-233.383	-0.169	0.9983
ln	D38	28	373.951	373.319	-0.633	-0.169	0.9983
tanh	D18	4	7365.674	7353.111	-12.563	-0.171	0.9983
div	D230	172	340.629	340.045	-0.583	-0.171	0.9983
atanh	D38	9	4770.222	4762.042	-8.180	-0.171	0.9983
cbrt	D18	9	5809.278	5799.269	-10.009	-0.172	0.9983
cosh	D307	76	14129.150	14104.709	-24.441	-0.173	0.9983
asinh	D1232	616	614929.174	613846.068	-1083.106	-0.176	0.9982
cosh	D38	9	4904.032	4895.344	-8.687	-0.177	0.9982
acosh	D616	615	555109.492	554111.654	-997.838	-0.180	0.9982
mul	D1232	924	7947.078	7932.661	-14.418	-0.181	0.9982
hypot	D57	42	485.486	484.605	-0.881	-0.181	0.9982
sqrt	D924	0	240.911	240.471	-0.440	-0.183	0.9982
acos	D924	923	1125040.087	1122981.478	-2058.609	-0.183	0.9982
atan	D307	306	176922.102	176587.655	-334.447	-0.189	0.9981
cos	D115	114	18853.489	18817.681	-35.808	-0.190	0.9981
cos	D307	0	96.328	96.145	-0.184	-0.191	0.9981
sub	D616	0	50.190	50.094	-0.096	-0.191	0.9981
acos	D924	462	419745.465	418935.246	-810.220	-0.193	0.9981
powf	D924	462	455885.103	454989.462	-895.641	-0.196	0.9980
hypot	D1232	0	78.326	78.169	-0.157	-0.200	0.9980
to_degrees	D18	4	3004.682	2998.644	-6.038	-0.201	0.9980
acosh	D115	57	12321.328	12296.354	-24.974	-0.203	0.9980
sinh	D18	9	10176.173	10155.241	-20.931	-0.206	0.9979
exp	D924	923	684773.433	683364.287	-1409.146	-0.206	0.9979
sub	D153	114	7.643	7.627	-0.016	-0.206	0.9979
sin	D462	0	127.707	127.440	-0.267	-0.209	0.9979
tan	D153	114	21192.739	21148.477	-44.262	-0.209	0.9979
exp	D115	86	18478.494	18439.574	-38.920	-0.211	0.9979
mul	D924	0	158.079	157.743	-0.336	-0.212	0.9979
log	D115	57	8743.187	8724.593	-18.593	-0.213	0.9979
rem	D1232	924	119.471	119.216	-0.254	-0.213	0.9979
cbrt	D307	306	22779.644	22730.895	-48.749	-0.214	0.9979
div	D38	0	9.607	9.587	-0.021	-0.214	0.9979
cosh	D924	923	691738.671	690246.505	-1492.166	-0.216	0.9978
sub	D76	57	3.092	3.086	-0.007	-0.219	0.9978
powf	D38	9	4059.446	4050.474	-8.973	-0.221	0.9978
atan	D76	38	10506.491	10483.130	-23.361	-0.222	0.9978
log	D38	19	14578.315	14545.876	-32.440	-0.223	0.9978
cosh	D307	306	124600.842	124322.028	-278.814	-0.224	0.9978
asinh	D57	0	1.807	1.802	-0.004	-0.224	0.9978
cbrt	D76	19	433.251	432.277	-0.974	-0.225	0.9978
hypot	D307	0	43.850	43.751	-0.099	-0.225	0.9978
cosh	D924	0	202.310	201.855	-0.456	-0.225	0.9977
powf	D18	13	8024.084	8005.848	-18.235	-0.227	0.9977
hypot	D462	346	6296.203	6281.809	-14.394	-0.229	0.9977
neg	D57	14	1.578	1.575	-0.004	-0.231	0.9977
powf	D1232	924	2109080.042	2104187.625	-4892.417	-0.232	0.9977
sqrt	D307	153	3717.440	3708.739	-8.701	-0.234	0.9977
sinh	D18	17	11958.691	11930.348	-28.343	-0.237	0.9976
cbrt	D924	693	121591.132	121299.775	-291.357	-0.240	0.9976
cbrt	D307	153	11735.501	11707.299	-28.203	-0.240	0.9976
cbrt	D924	0	585.130	583.715	-1.415	-0.242	0.9976
hypot	D76	38	480.818	479.637	-1.181	-0.246	0.9975
powf	D462	115	90471.570	90248.359	-223.211	-0.247	0.9975
tanh	D57	56	10355.726	10330.048	-25.678	-0.248	0.9975
cbrt	D1232	924	228150.409	227584.465	-565.945	-0.248	0.9975
exp	D1232	616	307132.183	306361.421	-770.762	-0.251	0.9975
add	D230	115	15.349	15.311	-0.039	-0.253	0.9975
div	D307	153	394.418	393.420	-0.998	-0.253	0.9975
asin	D153	76	21658.375	21602.970	-55.406	-0.256	0.9974
cbrt	D76	0	536.959	535.578	-1.381	-0.257	0.9974
acosh	D115	0	6193.255	6177.284	-15.971	-0.258	0.9974
sqrt	D924	693	26167.726	26100.215	-67.511	-0.258	0.9974
mul	D1232	1231	14123.623	14086.740	-36.883	-0.261	0.9974
hypot	D230	229	3184.280	3175.929	-8.351	-0.262	0.9974
neg	D462	346	15.335	15.295	-0.040	-0.264	0.9974
cos	D924	231	62574.977	62407.616	-167.361	-0.267	0.9973
rem	D462	461	82.954	82.732	-0.222	-0.268	0.9973
sinh	D76	0	12.102	12.069	-0.033	-0.271	0.9973
div	D18	13	9.893	9.866	-0.027	-0.273	0.9973
atan	D18	13	2943.280	2935.210	-8.070	-0.274	0.9973
log	D924	462	95347.704	95085.230	-262.474	-0.275	0.9972
sinh	D153	152	35205.452	35108.520	-96.932	-0.275	0.9972
sinh	D307	153	52507.965	52361.879	-146.087	-0.278	0.9972
sqrt	D616	154	6046.230	6029.335	-16.895	-0.279	0.9972
sqrt	D1232	1231	62536.299	62361.118	-175.181	-0.280	0.9972
sinh	D307	306	125318.713	124952.598	-366.116	-0.292	0.9971
asin	D230	172	64987.377	64797.038	-190.340	-0.293	0.9971
exp	D307	306	120942.952	120583.925	-359.027	-0.297	0.9970
sin	D57	0	2.021	2.015	-0.006	-0.305	0.9969
acos	D462	346	235226.649	234487.300	-739.349	-0.314	0.9969
ln	D57	0	247.016	246.225	-0.791	-0.320	0.9968
hypot	D57	14	37.304	37.184	-0.120	-0.320	0.9968
powf	D307	76	15771.585	15720.887	-50.698	-0.321	0.9968
mul	D38	37	49.850	49.688	-0.161	-0.324	0.9968
tan	D38	19	12271.727	12231.746	-39.981	-0.326	0.9967
cosh	D153	152	35136.481	35021.227	-115.254	-0.328	0.9967
tanh	D38	19	11589.200	11550.943	-38.257	-0.330	0.9967
cbrt	D616	0	474.722	473.133	-1.589	-0.335	0.9967
tanh	D924	0	4060.619	4046.973	-13.646	-0.336	0.9966
hypot	D230	172	1940.649	1934.127	-6.522	-0.336	0.9966
tan	D924	231	71419.117	71177.284	-241.832	-0.339	0.9966
exp	D462	0	135.128	134.670	-0.458	-0.339	0.9966
add	D1232	308	96.975	96.646	-0.329	-0.339	0.9966
ln	D18	4	274.273	273.329	-0.945	-0.344	0.9966
sqrt	D307	306	7352.591	7327.147	-25.444	-0.346	0.9965
sin	D153	114	17686.190	17624.926	-61.265	-0.346	0.9965
to_degrees	D76	75	360.152	358.899	-1.253	-0.348	0.9965
log	D115	114	10690.243	10652.610	-37.633	-0.352	0.9965
mul	D1232	308	2195.945	2188.169	-7.776	-0.354	0.9965
neg	D76	0	2.165	2.157	-0.008	-0.361	0.9964
asinh	D76	57	11625.337	11583.136	-42.200	-0.363	0.9964
to_degrees	D115	114	842.429	839.317	-3.112	-0.369	0.9963
log	D38	9	6704.090	6679.163	-24.926	-0.372	0.9963
asinh	D115	57	18998.568	18927.713	-70.855	-0.373	0.9963
asin	D115	114	44287.994	44121.159	-166.835	-0.377	0.9962
acos	D924	231	114034.069	113600.124	-433.946	-0.381	0.9962
cosh	D1232	616	310191.521	308990.003	-1201.518	-0.387	0.9961
mul	D18	13	5.008	4.988	-0.020	-0.391	0.9961
log	D462	231	25263.288	25162.612	-100.675	-0.399	0.9960
cbrt	D462	461	52175.582	51965.796	-209.786	-0.402	0.9960
sinh	D462	0	125.328	124.819	-0.509	-0.406	0.9959
cbrt	D57	42	806.168	802.887	-3.281	-0.407	0.9959
sub	D230	0	16.181	16.115	-0.067	-0.411	0.9959
tanh	D153	152	36020.022	35871.176	-148.846	-0.413	0.9959
sinh	D38	19	11569.844	11521.583	-48.261	-0.417	0.9958
tan	D38	28	14439.211	14378.522	-60.689	-0.420	0.9958
to_radians	D924	0	2548.727	2537.945	-10.782	-0.423	0.9958
powf	D38	19	8263.962	8228.599	-35.363	-0.428	0.9957
asinh	D230	172	56253.358	56009.974	-243.385	-0.433	0.9957
rem	D230	57	44.103	43.905	-0.198	-0.449	0.9955
atanh	D307	306	244726.151	243620.657	-1105.494	-0.452	0.9955
hypot	D924	923	21493.791	21396.355	-97.436	-0.453	0.9955
sin	D924	231	62413.599	62129.094	-284.505	-0.456	0.9954
sinh	D307	76	14296.516	14230.985	-65.531	-0.458	0.9954
exp	D1232	924	887089.724	883006.939	-4082.785	-0.460	0.9954
tanh	D462	231	87107.889	86700.625	-407.264	-0.468	0.9953
tan	D115	114	23153.780	23044.461	-109.319	-0.472	0.9953
sin	D924	923	779958.274	776228.641	-3729.633	-0.478	0.9952
atanh	D307	230	154857.223	154115.597	-741.626	-0.479	0.9952
exp	D924	0	201.532	200.560	-0.972	-0.482	0.9952
to_degrees	D462	346	2923.970	2909.862	-14.108	-0.482	0.9952
sub	D924	693	76.540	76.170	-0.370	-0.483	0.9952
sinh	D38	28	13447.395	13381.372	-66.023	-0.491	0.9951
sub	D115	57	4.870	4.846	-0.024	-0.491	0.9951
ln	D616	462	2642.737	2629.714	-13.023	-0.493	0.9951
add	D115	28	2.441	2.429	-0.012	-0.493	0.9951
to_radians	D307	230	2786.397	2772.590	-13.807	-0.496	0.9950
asin	D38	28	11386.605	11330.088	-56.517	-0.496	0.9950
cosh	D38	19	11580.888	11523.170	-57.718	-0.498	0.9950
exp	D153	152	34817.135	34640.392	-176.743	-0.508	0.9949
sqrt	D18	13	30.504	30.349	-0.155	-0.508	0.9949
asin	D1232	924	1479084.559	1471556.176	-7528.382	-0.509	0.9949
tan	D307	306	127261.848	126610.659	-651.189	-0.512	0.9949
acos	D616	0	4365.278	4342.637	-22.642	-0.519	0.9948
powf	D1232	1231	2995528.000	2979862.500	-15665.500	-0.523	0.9948
atanh	D76	0	607.094	603.916	-3.179	-0.524	0.9948
div	D115	28	51.493	51.219	-0.274	-0.532	0.9947
log	D307	0	16571.708	16483.144	-88.564	-0.534	0.9947
cosh	D38	28	13461.476	13388.611	-72.865	-0.541	0.9946
acos	D462	231	131353.644	130641.316	-712.328	-0.542	0.9946
cbrt	D115	28	1357.484	1349.986	-7.498	-0.552	0.9945
cosh	D462	231	86871.627	86391.028	-480.599	-0.553	0.9945
cbrt	D307	0	420.742	418.409	-2.333	-0.555	0.9945
sqrt	D1232	924	39778.463	39555.724	-222.739	-0.560	0.9944
tanh	D616	0	3035.178	3018.109	-17.069	-0.562	0.9944
tanh	D38	28	13479.327	13403.518	-75.809	-0.562	0.9944
asinh	D924	923	1057291.333	1051321.188	-5970.146	-0.565	0.9944
add	D153	152	5.932	5.898	-0.034	-0.567	0.9943
add	D153	114	5.935	5.901	-0.034	-0.569	0.9943
cbrt	D115	57	2436.101	2422.215	-13.886	-0.570	0.9943
atan	D1232	924	1421744.889	1413632.444	-8112.444	-0.571	0.9943
asinh	D924	231	200403.635	199241.395	-1162.240	-0.580	0.9942
exp	D1232	308	129942.463	129182.963	-759.500	-0.584	0.9942
tan	D1232	308	132207.201	131424.809	-782.392	-0.592	0.9941
asin	D462	231	131076.071	130299.126	-776.945	-0.593	0.9941
sin	D307	306	116149.701	115459.441	-690.260	-0.594	0.9941
cos	D38	19	6803.341	6762.418	-40.923	-0.602	0.9940
add	D230	172	14.097	14.012	-0.085	-0.602	0.9940
div	D76	19	34.315	34.108	-0.207	-0.603	0.9940
to_radians	D1232	924	12158.895	12085.138	-73.756	-0.607	0.9939
ln	D115	57	561.013	557.609	-3.404	-0.607	0.9939
sin	D307	153	26130.845	25972.032	-158.813	-0.608	0.9939
exp	D38	19	7618.118	7571.288	-46.830	-0.615	0.9939
powf	D115	86	10999.148	10930.778	-68.370	-0.622	0.9938
tan	D924	923	834437.845	829223.784	-5214.061	-0.625	0.9938
powf	D38	28	9426.259	9367.352	-58.906	-0.625	0.9938
powf	D1232	308	775039.661	770138.477	-4901.183	-0.632	0.9937
tan	D57	28	3988.918	3963.659	-25.259	-0.633	0.9937
acos	D307	230	131720.328	130884.002	-836.326	-0.635	0.9937
acos	D1232	924	1483367.382	1473940.147	-9427.235	-0.636	0.9936
log	D115	0	7650.913	7602.037	-48.876	-0.639	0.9936
sin	D115	114	18558.621	18440.062	-118.559	-0.639	0.9936
sqrt	D462	461	11882.281	11805.939	-76.341	-0.642	0.9936
rem	D616	308	78.656	78.149	-0.506	-0.644	0.9936
log	D462	0	16238.298	16133.109	-105.189	-0.648	0.9935
acosh	D115	114	23649.809	23495.001	-154.808	-0.655	0.9935
tanh	D230	115	25636.818	25468.272	-168.546	-0.657	0.9934
asinh	D115	28	8127.457	8073.824	-53.633	-0.660	0.9934
cosh	D1232	308	132958.536	132080.974	-877.562	-0.660	0.9934
tanh	D1232	924	904878.379	898893.523	-5984.856	-0.661	0.9934
sin	D38	28	7796.192	7744.332	-51.860	-0.665	0.9933
ln	D1232	0	1956.452	1943.394	-13.058	-0.667	0.9933
add	D462	461	33.067	32.845	-0.223	-0.674	0.9933
sin	D38	19	6616.593	6571.702	-44.891	-0.678	0.9932
div	D18	0	5.925	5.884	-0.040	-0.681	0.9932
tanh	D1232	308	133936.324	133024.302	-912.022	-0.681	0.9932
acos	D1232	0	3736.448	3710.997	-25.451	-0.681	0.9932
asin	D1232	0	3757.323	3731.406	-25.917	-0.690	0.9931
asin	D1232	616	482617.148	479282.303	-3334.845	-0.691	0.9931
div	D230	0	95.178	94.519	-0.659	-0.693	0.9931
cosh	D1232	924	899903.970	893652.962	-6251.007	-0.695	0.9931
to_radians	D462	0	1448.436	1438.360	-10.075	-0.696	0.9930
exp	D38	28	8783.938	8722.632	-61.306	-0.698	0.9930
acosh	D115	28	5502.486	5463.778	-38.708	-0.703	0.9930
tanh	D462	346	156903.028	155795.302	-1107.726	-0.706	0.9929
to_radians	D462	231	2849.356	2829.090	-20.266	-0.711	0.9929
add	D153	0	5.937	5.894	-0.043	-0.717	0.9928
acosh	D462	461	275992.730	274009.858	-1982.871	-0.718	0.9928
sinh	D462	231	87401.233	86770.922	-630.311	-0.721	0.9928
asinh	D1232	1231	3140553.375	3117416.375	-23137.000	-0.737	0.9926
ln	D76	57	554.781	550.685	-4.096	-0.738	0.9926
cos	D38	28	7983.824	7923.938	-59.886	-0.750	0.9925
acos	D153	152	59690.761	59241.227	-449.534	-0.753	0.9925
mul	D616	0	89.718	89.042	-0.676	-0.754	0.9925
atanh	D462	461	501744.464	497959.708	-3784.755	-0.754	0.9925
rem	D153	0	17.221	17.089	-0.131	-0.763	0.9924
tan	D462	461	250074.355	248162.762	-1911.593	-0.764	0.9924
cos	D57	14	3213.444	3188.860	-24.584	-0.765	0.9923
powf	D307	0	445.859	442.434	-3.425	-0.768	0.9923
tan	D115	86	16733.111	16604.266	-128.846	-0.770	0.9923
tanh	D1232	616	317896.998	315447.728	-2449.270	-0.770	0.9923
