# library: dashu-float
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits
log2	D153	76	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D153	152	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D230	0	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D230	115	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D230	229	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D307	0	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D307	150	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D307	306	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D462	0	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D462	230	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D462	461	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D616	0	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D616	308	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D616	615	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D924	0	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D924	460	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D924	923	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D1232	0	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D1232	615	HalfAwayFromZero	na	-1	na	0	0	-1
log2	D1232	1231	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D18	0	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D18	9	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D18	17	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D38	0	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D38	19	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D38	37	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D57	0	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D57	28	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D57	56	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D76	0	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D76	35	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D76	75	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D115	0	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D115	57	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D115	114	HalfAwayFromZero	na	-1	na	0	0	-1
log10	D153	0	HalfAwayFromZero	na	-1	na	0	0	-1
