# library: g_math
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
exp	D616	308	HalfToEven	executed	65	2.345e19	63	21	20	19
exp	D616	462	HalfToEven	executed	65	2.346e19	70	25	20	19
exp	D616	615	HalfToEven	executed	65	2.348e19	40	1	20	19
exp	D924	0	HalfToEven	executed	1	1.000000	32	31	1	0
exp	D924	231	HalfToEven	executed	65	2.347e19	66	20	20	19
exp	D924	462	HalfToEven	executed	65	2.343e19	66	25	20	19
exp	D924	693	HalfToEven	executed	65	2.345e19	67	21	20	19
exp	D924	923	HalfToEven	executed	65	2.330e19	40	1	20	19
exp	D1232	0	HalfToEven	executed	1	1.000000	32	31	1	0
exp	D1232	308	HalfToEven	executed	65	2.342e19	70	32	20	19
exp	D1232	616	HalfToEven	executed	65	2.341e19	67	22	20	19
exp	D1232	924	HalfToEven	executed	65	2.324e19	67	22	20	19
exp	D1232	1231	HalfToEven	executed	65	2.339e19	45	1	20	19
ln	D18	0	HalfToEven	executed	1	1.000000	131	119	1	0
ln	D18	4	HalfToEven	executed	1	1.000000	182	162	1	4
ln	D18	9	HalfToEven	executed	1	1.000000	185	162	1	9
ln	D18	13	HalfToEven	executed	1	1.000000	185	164	1	13
ln	D18	17	HalfToEven	executed	0	0	106	106	0	17
ln	D38	0	HalfToEven	executed	1	1.000000	116	103	1	0
ln	D38	9	HalfToEven	executed	1	1.000000	165	152	1	9
ln	D38	19	HalfToEven	executed	6	50.000000	165	4	2	19
ln	D38	28	HalfToEven	executed	6	49.000000	165	4	2	19
ln	D38	37	HalfToEven	executed	6	49.000000	113	3	2	19
ln	D57	0	HalfToEven	executed	1	1.000000	101	89	1	0
ln	D57	14	HalfToEven	executed	1	1.000000	145	125	1	14
ln	D57	28	HalfToEven	executed	6	50.000000	145	6	2	19
ln	D57	42	HalfToEven	executed	6	49.000000	144	60	2	19
ln	D57	56	HalfToEven	executed	6	50.000000	80	2	2	19
ln	D76	0	HalfToEven	executed	1	1.000000	86	73	1	0
ln	D76	19	HalfToEven	executed	6	50.000000	125	3	2	19
ln	D76	38	HalfToEven	executed	6	49.000000	125	58	2	19
ln	D76	57	HalfToEven	executed	6	50.000000	124	56	2	19
ln	D76	75	HalfToEven	executed	6	49.000000	73	3	2	19
ln	D115	0	HalfToEven	executed	1	1.000000	71	64	1	0
ln	D115	28	HalfToEven	executed	6	49.000000	105	4	2	19
ln	D115	57	HalfToEven	executed	6	40.000000	104	38	2	19
ln	D115	86	HalfToEven	executed	6	49.000000	104	44	2	19
ln	D115	114	HalfToEven	executed	6	49.000000	65	4	2	19
ln	D153	0	HalfToEven	executed	1	1.000000	63	58	1	0
ln	D153	38	HalfToEven	executed	6	45.000000	94	31	2	19
ln	D153	76	HalfToEven	executed	6	39.000000	93	44	2	19
ln	D153	114	HalfToEven	executed	6	47.000000	93	38	2	19
ln	D153	152	HalfToEven	executed	6	48.000000	53	2	2	19
ln	D230	0	HalfToEven	executed	1	1.000000	56	51	1	0
ln	D230	57	HalfToEven	executed	5	26.000000	84	30	2	19
