# library: fastnum
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
ln	D115	86	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D115	114	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D153	0	HalfAwayFromZero	executed	0	0	23	23	0	0
ln	D153	38	HalfAwayFromZero	executed	0	0	11	11	0	34
ln	D153	76	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D153	114	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D153	152	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D230	0	HalfAwayFromZero	executed	0	0	56	56	0	0
ln	D230	57	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D230	115	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D230	172	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D230	229	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D307	0	HalfAwayFromZero	executed	0	0	18	18	0	0
ln	D307	76	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D307	153	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D307	230	HalfAwayFromZero	executed	1	1.000000	1	0	1	34
ln	D307	306	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D462	0	HalfAwayFromZero	executed	0	0	56	56	0	0
ln	D462	115	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D462	231	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D462	346	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D462	461	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D616	0	HalfAwayFromZero	executed	0	0	56	56	0	0
ln	D616	154	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D616	308	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D616	462	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D616	615	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D924	0	HalfAwayFromZero	executed	0	0	56	56	0	0
ln	D924	231	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D924	462	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D924	693	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D924	923	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D1232	0	HalfAwayFromZero	executed	0	0	56	56	0	0
ln	D1232	308	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D1232	616	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D1232	924	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D1232	1231	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D18	0	HalfAwayFromZero	executed	0	0	98	98	0	0
log2	D18	4	HalfAwayFromZero	executed	0	0	107	107	0	4
log2	D18	9	HalfAwayFromZero	executed	0	0	88	88	0	9
log2	D18	13	HalfAwayFromZero	executed	0	0	74	74	0	13
log2	D18	17	HalfAwayFromZero	executed	0	0	27	27	0	17
log2	D38	0	HalfAwayFromZero	executed	0	0	96	96	0	0
log2	D38	9	HalfAwayFromZero	executed	0	0	114	114	0	9
log2	D38	19	HalfAwayFromZero	executed	0	0	113	113	0	19
log2	D38	28	HalfAwayFromZero	executed	0	0	83	83	0	28
log2	D38	37	HalfAwayFromZero	executed	0	0	24	24	0	34
log2	D57	0	HalfAwayFromZero	executed	0	0	90	90	0	0
log2	D57	14	HalfAwayFromZero	executed	0	0	107	107	0	14
log2	D57	28	HalfAwayFromZero	executed	0	0	81	81	0	28
log2	D57	42	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D57	56	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D76	0	HalfAwayFromZero	executed	0	0	85	85	0	0
log2	D76	19	HalfAwayFromZero	executed	0	0	99	99	0	19
log2	D76	38	HalfAwayFromZero	executed	0	0	17	17	0	34
log2	D76	57	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D76	75	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D115	0	HalfAwayFromZero	executed	0	0	82	82	0	0
log2	D115	28	HalfAwayFromZero	executed	0	0	66	66	0	28
log2	D115	57	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D115	86	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D115	114	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D153	0	HalfAwayFromZero	executed	0	0	79	79	0	0
log2	D153	38	HalfAwayFromZero	executed	0	0	11	11	0	34
log2	D153	76	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D153	114	HalfAwayFromZero	executed	1	1.000000	1	0	1	34
log2	D153	152	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D230	0	HalfAwayFromZero	executed	0	0	113	113	0	0
log2	D230	57	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D230	115	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D230	172	HalfAwayFromZero	executed	1	1.000000	1	0	1	34
log2	D230	229	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D307	0	HalfAwayFromZero	executed	0	0	75	75	0	0
log2	D307	76	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D307	153	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D307	230	HalfAwayFromZero	executed	1	1.000000	1	0	1	34
log2	D307	306	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D462	0	HalfAwayFromZero	executed	0	0	113	113	0	0
log2	D462	115	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D462	231	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D462	346	HalfAwayFromZero	executed	1	1.000000	1	0	1	34
log2	D462	461	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D616	0	HalfAwayFromZero	executed	0	0	113	113	0	0
log2	D616	154	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D616	308	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D616	462	HalfAwayFromZero	executed	1	1.000000	1	0	1	34
log2	D616	615	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D924	0	HalfAwayFromZero	executed	0	0	113	113	0	0
log2	D924	231	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D924	462	HalfAwayFromZero	executed	1	1.000000	1	0	1	34
log2	D924	693	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D924	923	HalfAwayFromZero	na	-1	na	0	0	-1	34
log2	D1232	0	HalfAwayFromZero	executed	0	0	113	113	0	0
log2	D1232	308	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D1232	616	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D1232	924	HalfAwayFromZero	executed	0	0	1	1	0	34
log2	D1232	1231	HalfAwayFromZero	na	-1	na	0	0	-1	34
log10	D18	0	HalfAwayFromZero	executed	0	0	60	60	0	0
log10	D18	4	HalfAwayFromZero	executed	0	0	75	75	0	4
log10	D18	9	HalfAwayFromZero	executed	0	0	70	70	0	9
log10	D18	13	HalfAwayFromZero	executed	0	0	66	66	0	13
log10	D18	17	HalfAwayFromZero	executed	0	0	41	41	0	17
log10	D38	0	HalfAwayFromZero	executed	0	0	73	73	0	0
log10	D38	9	HalfAwayFromZero	executed	0	0	82	82	0	9
log10	D38	19	HalfAwayFromZero	executed	0	0	72	72	0	19
log10	D38	28	HalfAwayFromZero	executed	0	0	63	63	0	28
log10	D38	37	HalfAwayFromZero	executed	0	0	33	33	0	34
log10	D57	0	HalfAwayFromZero	executed	0	0	70	70	0	0
log10	D57	14	HalfAwayFromZero	executed	0	0	72	72	0	14
log10	D57	28	HalfAwayFromZero	executed	0	0	58	58	0	28
log10	D57	42	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D57	56	HalfAwayFromZero	na	-1	na	0	0	-1	34
