function	width	version	nanos	min	max
asinh	153	decimal-scaled@0.3.3	41553	23856	6075922
asinh	153	decimal-scaled@0.4.4	29915	10366	9049118
asinh	153	decimal-scaled@0.5.0	11668	70	8026005
asinh	18	decimal-scaled	3330	64	22415
asinh	18	decimal-scaled@0.4.4	16907	45	23085
asinh	18	decimal-scaled@0.5.0	17168	60	34901
asinh	230	decimal-scaled	18668	221	6064240
asinh	230	decimal-scaled@0.3.3	89914	54162	9252314
asinh	230	decimal-scaled@0.4.4	59900	21212	12050746
asinh	230	decimal-scaled@0.5.0	18377	120	9028368
asinh	307	decimal-scaled	24916	391	7105571
asinh	307	decimal-scaled@0.3.3	145431	89467	12156192
asinh	307	decimal-scaled@0.4.4	102160	33542	9102854
asinh	307	decimal-scaled@0.5.0	24256	240	6512566
asinh	38	decimal-scaled	4652	38	52104
asinh	38	decimal-scaled@0.3.3	112671	29	218248
asinh	38	decimal-scaled@0.4.4	22047	35	39443
asinh	38	decimal-scaled@0.5.0	22077	39	75017
asinh	462	decimal-scaled	24456	531	6232781
asinh	462	decimal-scaled@0.4.4	92928	31228	7097323
asinh	462	decimal-scaled@0.5.0	23860	411	9078077
asinh	57	decimal-scaled	9608	90	51165
asinh	57	decimal-scaled@0.4.4	25748	9528	58059
asinh	57	decimal-scaled@0.5.0	9638	50	51487
asinh	616	decimal-scaled	18548	520	12079149
asinh	616	decimal-scaled@0.4.4	92244	33732	9064223
asinh	616	decimal-scaled@0.5.0	17998	331	9068425
asinh	76	decimal-scaled	8608	80	45799
asinh	76	decimal-scaled@0.3.3	28733	15764	60361
asinh	76	decimal-scaled@0.4.4	19414	6710	50736
asinh	76	decimal-scaled@0.5.0	8463	50	45409
asinh	924	decimal-scaled	21110	721	6535702
asinh	924	decimal-scaled@0.4.4	152870	53973	7181659
asinh	924	decimal-scaled@0.5.0	20913	539	9168861
atan	115	decimal-scaled	15603	2894	6040785
atan	115	decimal-scaled@0.4.4	54926	21171	5072887
atan	115	decimal-scaled@0.5.0	18398	12980	6033404
atan	1232	decimal-scaled	19962	3957	6042487
atan	1232	decimal-scaled@0.4.4	216158	84578	9211214
atan	1232	decimal-scaled@0.5.0	23078	15720	9144266
atan	153	decimal-scaled	4932	1552	3949978
atan	153	decimal-scaled@0.3.3	63250	49234	14068037
atan	153	decimal-scaled@0.4.4	30451	14261	9047485
atan	153	decimal-scaled@0.5.0	11928	8983	8022859
atan	18	decimal-scaled	2829	34	32240
atan	18	decimal-scaled@0.4.4	13443	9306	21845
atan	18	decimal-scaled@0.5.0	6005	4977	19923
atan	230	decimal-scaled	7641	2473	6032082
atan	230	decimal-scaled@0.3.3	141963	106770	9160197
atan	230	decimal-scaled@0.4.4	58968	25848	9085917
atan	230	decimal-scaled@0.5.0	16995	12899	9043420
atan	307	decimal-scaled	10750	3416	9045145
atan	307	decimal-scaled@0.3.3	219474	157634	9239759
atan	307	decimal-scaled@0.4.4	97492	44924	9136846
atan	307	decimal-scaled@0.5.0	21971	12433	6075081
atan	38	decimal-scaled	4566	80	46732
atan	38	decimal-scaled@0.3.3	118976	898	173000
atan	38	decimal-scaled@0.4.4	17315	10439	39613
atan	38	decimal-scaled@0.5.0	7610	5647	27830
atan	462	decimal-scaled	8396	2295	6038739
atan	462	decimal-scaled@0.4.4	88345	38952	9120784
atan	462	decimal-scaled@0.5.0	15428	10800	9057087
atan	57	decimal-scaled	9147	1442	33813
atan	57	decimal-scaled@0.4.4	31329	20669	59212
atan	57	decimal-scaled@0.5.0	12834	9808	37109
atan	616	decimal-scaled	8584	2401	6047572
atan	616	decimal-scaled@0.4.4	81962	34465	9089057
atan	616	decimal-scaled@0.5.0	16944	11642	9060628
atan	76	decimal-scaled	6750	1092	21122
atan	76	decimal-scaled@0.3.3	43360	33691	65899
atan	76	decimal-scaled@0.4.4	21772	12498	34332
atan	76	decimal-scaled@0.5.0	10942	7742	21202
atan	924	decimal-scaled	12368	2789	6030302
atan	924	decimal-scaled@0.4.4	137018	69947	12150753
atan	924	decimal-scaled@0.5.0	20616	14232	6096605
atan2	115	decimal-scaled	19329	1001	6051371
atan2	115	decimal-scaled@0.4.4	59938	742	9079870
atan2	115	decimal-scaled@0.5.0	18287	1022	6033274
atan2	1232	decimal-scaled	20639	2214	9041033
atan2	1232	decimal-scaled@0.4.4	266226	3487	9240057
atan2	1232	decimal-scaled@0.5.0	23354	2465	6055021
atan2	153	decimal-scaled	11137	551	6022843
atan2	153	decimal-scaled@0.3.3	67281	2083	9078439
atan2	153	decimal-scaled@0.4.4	36766	430	9059197
atan2	153	decimal-scaled@0.5.0	12259	521	7021781
atan2	18	decimal-scaled	3284	114	29554
atan2	18	decimal-scaled@0.4.4	14324	425	21015
atan2	18	decimal-scaled@0.5.0	5160	280	16483
atan2	230	decimal-scaled	14922	1042	6027665
atan2	230	decimal-scaled@0.3.3	150926	4707	9194138
atan2	230	decimal-scaled@0.4.4	68237	891	9085042
atan2	230	decimal-scaled@0.5.0	17130	842	6030359
atan2	307	decimal-scaled	20128	1463	6058430
atan2	307	decimal-scaled@0.3.3	231812	7634	9266307
atan2	307	decimal-scaled@0.4.4	113106	1493	11129590
