function	width	scale	mode	passed	failed	na
acos	18	4	HalfAwayFromZero	187	0	3828
acos	18	4	HalfToEven	187	0	3828
acos	18	4	HalfTowardZero	187	0	3828
acos	18	4	Trunc	187	0	3828
acos	18	4	ZeroFiveUp	187	0	3828
acos	18	9	AwayFromZero	530	0	3485
acos	18	9	Ceiling	530	0	3485
acos	18	9	Floor	530	0	3485
acos	18	9	HalfAwayFromZero	530	0	3485
acos	18	9	HalfToEven	530	0	3485
acos	18	9	HalfTowardZero	530	0	3485
acos	18	9	Trunc	530	0	3485
acos	18	9	ZeroFiveUp	530	0	3485
acos	230	0	AwayFromZero	3	0	4012
acos	230	0	Ceiling	3	0	4012
acos	230	0	Floor	3	0	4012
acos	230	0	HalfAwayFromZero	3	0	4012
acos	230	0	HalfToEven	3	0	4012
acos	230	0	HalfTowardZero	3	0	4012
acos	230	0	Trunc	3	0	4012
acos	230	0	ZeroFiveUp	3	0	4012
acos	230	115	AwayFromZero	4013	0	2
acos	230	115	Ceiling	4013	0	2
acos	230	115	Floor	4013	0	2
acos	230	115	HalfAwayFromZero	4013	0	2
acos	230	115	HalfToEven	4013	0	2
acos	230	115	HalfTowardZero	4013	0	2
acos	230	115	Trunc	4013	0	2
acos	230	115	ZeroFiveUp	4013	0	2
acos	230	172	AwayFromZero	4015	0	0
acos	230	172	Ceiling	4015	0	0
acos	230	172	Floor	4015	0	0
acos	230	172	HalfAwayFromZero	4015	0	0
acos	230	172	HalfToEven	4015	0	0
acos	230	172	HalfTowardZero	4015	0	0
acos	230	172	Trunc	4015	0	0
acos	230	172	ZeroFiveUp	4015	0	0
acos	230	229	AwayFromZero	4015	0	0
acos	230	229	Ceiling	4015	0	0
acos	230	229	Floor	4015	0	0
acos	230	229	HalfAwayFromZero	4015	0	0
acos	230	229	HalfToEven	4015	0	0
acos	230	229	HalfTowardZero	4015	0	0
acos	230	229	Trunc	4015	0	0
acos	230	229	ZeroFiveUp	4015	0	0
acos	230	30	AwayFromZero	3990	0	25
acos	230	30	Ceiling	3990	0	25
acos	230	30	Floor	3990	0	25
acos	230	30	HalfAwayFromZero	3990	0	25
acos	230	30	HalfToEven	3990	0	25
acos	230	30	HalfTowardZero	3990	0	25
acos	230	30	Trunc	3990	0	25
acos	230	30	ZeroFiveUp	3990	0	25
acos	230	57	AwayFromZero	4012	0	3
acos	230	57	Ceiling	4012	0	3
acos	230	57	Floor	4012	0	3
acos	230	57	HalfAwayFromZero	4012	0	3
acos	230	57	HalfToEven	4012	0	3
acos	230	57	HalfTowardZero	4012	0	3
acos	230	57	Trunc	4012	0	3
acos	230	57	ZeroFiveUp	4012	0	3
acos	307	0	AwayFromZero	3	0	4012
acos	307	0	Ceiling	3	0	4012
acos	307	0	Floor	3	0	4012
acos	307	0	HalfAwayFromZero	3	0	4012
acos	307	0	HalfToEven	3	0	4012
acos	307	0	HalfTowardZero	3	0	4012
acos	307	0	Trunc	3	0	4012
acos	307	0	ZeroFiveUp	3	0	4012
acos	307	120	AwayFromZero	4015	0	0
acos	307	120	Ceiling	4015	0	0
acos	307	120	Floor	4015	0	0
acos	307	120	HalfAwayFromZero	4015	0	0
acos	307	120	HalfToEven	4015	0	0
acos	307	120	HalfTowardZero	4015	0	0
acos	307	120	Trunc	4015	0	0
acos	307	120	ZeroFiveUp	4015	0	0
acos	307	153	AwayFromZero	4015	0	0
acos	307	153	Ceiling	4015	0	0
acos	307	153	Floor	4015	0	0
acos	307	153	HalfAwayFromZero	4015	0	0
acos	307	153	HalfToEven	4015	0	0
acos	307	153	HalfTowardZero	4015	0	0
acos	307	153	Trunc	4015	0	0
acos	307	153	ZeroFiveUp	4015	0	0
acos	307	230	AwayFromZero	4015	0	0
acos	307	230	Ceiling	4015	0	0
acos	307	230	Floor	4015	0	0
acos	307	230	HalfAwayFromZero	4015	0	0
acos	307	230	HalfToEven	4015	0	0
acos	307	230	HalfTowardZero	4015	0	0
acos	307	230	Trunc	4015	0	0
acos	307	230	ZeroFiveUp	4015	0	0
acos	307	290	AwayFromZero	4015	0	0
acos	307	290	Ceiling	4015	0	0
acos	307	290	Floor	4015	0	0
acos	307	290	HalfAwayFromZero	4015	0	0
acos	307	290	HalfToEven	4015	0	0
acos	307	290	HalfTowardZero	4015	0	0
acos	307	290	Trunc	4015	0	0
acos	307	290	ZeroFiveUp	4015	0	0
acos	307	30	AwayFromZero	3990	0	25
acos	307	30	Ceiling	3990	0	25
acos	307	30	Floor	3990	0	25
acos	307	30	HalfAwayFromZero	3990	0	25
acos	307	30	HalfToEven	3990	0	25
acos	307	30	HalfTowardZero	3990	0	25
acos	307	30	Trunc	3990	0	25
acos	307	30	ZeroFiveUp	3990	0	25
acos	307	306	AwayFromZero	4015	0	0
acos	307	306	Ceiling	4015	0	0
acos	307	306	Floor	4015	0	0
acos	307	306	HalfAwayFromZero	4015	0	0
acos	307	306	HalfToEven	4015	0	0
acos	307	306	HalfTowardZero	4015	0	0
acos	307	306	Trunc	4015	0	0
acos	307	306	ZeroFiveUp	4015	0	0
acos	307	50	AwayFromZero	4012	0	3
acos	307	50	Ceiling	4012	0	3
acos	307	50	Floor	4012	0	3
acos	307	50	HalfAwayFromZero	4012	0	3
acos	307	50	HalfToEven	4012	0	3
acos	307	50	HalfTowardZero	4012	0	3
acos	307	50	Trunc	4012	0	3
acos	307	50	ZeroFiveUp	4012	0	3
acos	307	70	AwayFromZero	4013	0	2
acos	307	70	Ceiling	4013	0	2
acos	307	70	Floor	4013	0	2
acos	307	70	HalfAwayFromZero	4013	0	2
acos	307	70	HalfToEven	4013	0	2
acos	307	70	HalfTowardZero	4013	0	2
acos	307	70	Trunc	4013	0	2
acos	307	70	ZeroFiveUp	4013	0	2
acos	307	76	AwayFromZero	4013	0	2
acos	307	76	Ceiling	4013	0	2
acos	307	76	Floor	4013	0	2
acos	307	76	HalfAwayFromZero	4013	0	2
acos	307	76	HalfToEven	4013	0	2
acos	307	76	HalfTowardZero	4013	0	2
acos	307	76	Trunc	4013	0	2
acos	307	76	ZeroFiveUp	4013	0	2
acos	38	0	AwayFromZero	3	0	4012
acos	38	0	Ceiling	3	0	4012
acos	38	0	Floor	3	0	4012
acos	38	0	HalfAwayFromZero	3	0	4012
acos	38	0	HalfToEven	3	0	4012
acos	38	0	HalfTowardZero	3	0	4012
acos	38	0	Trunc	3	0	4012
acos	38	0	ZeroFiveUp	3	0	4012
acos	38	10	AwayFromZero	532	0	3483
acos	38	10	Ceiling	532	0	3483
acos	38	10	Floor	532	0	3483
acos	38	10	HalfAwayFromZero	532	0	3483
acos	38	10	HalfToEven	532	0	3483
acos	38	10	HalfTowardZero	532	0	3483
acos	38	10	Trunc	532	0	3483
acos	38	10	ZeroFiveUp	532	0	3483
acos	38	12	AwayFromZero	553	0	3462
acos	38	12	Ceiling	553	0	3462
acos	38	12	Floor	553	0	3462
acos	38	12	HalfAwayFromZero	553	0	3462
acos	38	12	HalfToEven	553	0	3462
acos	38	12	HalfTowardZero	553	0	3462
acos	38	12	Trunc	553	0	3462
acos	38	12	ZeroFiveUp	553	0	3462
acos	38	17	AwayFromZero	932	0	3083
acos	38	17	Ceiling	932	0	3083
acos	38	17	Floor	932	0	3083
acos	38	17	HalfAwayFromZero	932	0	3083
acos	38	17	HalfToEven	932	0	3083
acos	38	17	HalfTowardZero	932	0	3083
acos	38	17	Trunc	932	0	3083
acos	38	17	ZeroFiveUp	932	0	3083
acos	38	18	AwayFromZero	955	0	3060
acos	38	18	Ceiling	955	0	3060
acos	38	18	Floor	955	0	3060
acos	38	18	HalfAwayFromZero	955	0	3060
acos	38	18	HalfToEven	955	0	3060
acos	38	18	HalfTowardZero	955	0	3060
acos	38	18	Trunc	955	0	3060
acos	38	18	ZeroFiveUp	955	0	3060
acos	38	19	AwayFromZero	1203	0	2812
acos	38	19	Ceiling	1203	0	2812
acos	38	19	Floor	1203	0	2812
acos	38	19	HalfAwayFromZero	1203	0	2812
acos	38	19	HalfToEven	1203	0	2812
acos	38	19	HalfTowardZero	1203	0	2812
acos	38	19	Trunc	1203	0	2812
acos	38	19	ZeroFiveUp	1203	0	2812
acos	38	2	AwayFromZero	9	0	4006
acos	38	2	Ceiling	9	0	4006
acos	38	2	Floor	9	0	4006
acos	38	2	HalfAwayFromZero	9	0	4006
acos	38	2	HalfToEven	9	0	4006
acos	38	2	HalfTowardZero	9	0	4006
acos	38	2	Trunc	9	0	4006
